Name	City	Rating	Reviews	Address	PhoneNumber
The Treehouse	Belfast	4	170	38-42 Upper Arthur St, Belfast	+44 28 9024 9009
Teddy's Bar & Grill	Belfast	4.30000019073486	748	1 Castle St, Bangor	+44 28 9145 8455
SmashnBird - (Botanic Avenue)	Belfast	4.5	1516	86 Botanic Ave, Belfast	+44 28 9094 5499
Wok A Moley	Belfast	2.79999995231628	52	43 Bradbury Pl, Belfast	+44 28 9024 3279
Cafe Mexicana	Cork	4.5	1708	Carey's Ln, Centre, Cork	+353 21 427 6433
The Old Town Taqueria @ Black Dog	Cork	4.5	70	53 N Main St, Centre, Cork	+353 21 239 3375
Tequila Jack's Mexican Restaurant & Tequila Bar	Cork	4.19999980926514	2149	City Quarter, Lapp's Quay, Centre, Cork	+353 21 202 1002
Lucha Libre	Cork	5	114	Comercial Park, Link Rd, Ballincollig, Cork	+353 85 120 0989
The Black Market	Cork	4.59999990463257	553	Dornan's Yard, The Black Market, Monahan Rd, Ballintemple, Cork	+353 83 208 8269
The Flying Burrito Food company	Cork	4.40000009536743	13	Togher Industrial Estate, Cork	+353 85 231 9309
The Old Town Taqueria Café	Cork	4.30000019073486	70	5 Pembroke St, Centre, Cork	+353 21 234 4428
Boojum	Cork	4.30000019073486	1607	7 Winthrop St, Centre, Cork	+353 21 424 8843
La Cantina Company	Cork	4.80000019073486	58	Centre Park Rd, Ballintemple, Cork	
Zambrero	Cork	4.19999980926514	583	32 The Yarlington, Dennehys Cross, Cork	+353 21 229 1801
The Mex	Cork	4.40000009536743	113	14 Pearse Square, Kilgarvan, Cobh	
La Calavera Burrito Bar	Cork	4.09999990463257	312	21 Paul St, Centre, Cork	+353 21 480 2260
Burritos and Blues	Cork	1.70000004768372	10	Ballintemple, Cork	+353 86 456 3655
Burritos & Blues	Cork	4.30000019073486	551	8 9 Paul St, Centre, Cork	+353 86 456 3655
Cafe Gusto Lapps Quay	Cork	4.59999990463257	90	City Quarter, Lapp's Quay, Centre, Cork	+353 21 422 4099
Zambrero Little Island	Cork	4.59999990463257	58	Eastgate Business Park, Castleview, Cork	+353 21 451 0555
Brendans Burritos	Cork	4.19999980926514	24	Doran's Yard, The Black Market, Monahan Rd, Ballintemple, Cork	+353 87 622 7797
Zambrero	Cork	4.19999980926514	89	Unit 18, Douglas, Corcaigh	+353 21 485 7851
Liberty Grill	Cork	4.69999980926514	2128	32 Washington St, Centre, Cork	+353 21 427 1049
The Bookshelf at The Elysian	Cork	4.40000009536743	626	Unit 5, The Elysian, Eglinton St, Ballintemple, Cork	+353 21 431 1591
Blarney Burger	Cork	4.40000009536743	129	The Square, Monacnapa, Cork	+353 21 438 2582
Salt Food & Wine	Cork	4.5	729	Victoria Rd, Ballintemple, Cork	+353 21 239 0430
Paladar	Cork	4.69999980926514	390	6 Bridge St, Victorian Quarter, Cork	+353 21 229 0045
GLOBE Restaurant and Bar	Cork	2.70000004768372	27	Lapp's Quay, Centre, Cork	+353 21 422 4900
Crème French Tacos	Cork	4.59999990463257	281	42B MacCurtain Street, Victorian Quarter, Cork	+353 89 233 6689
Oak Fire Pizza - Princes Street	Cork	4.5	822	29 Princes St, Centre, Cork	+353 21 422 2871
The Idle Hour	Cork	4.5	293	Albert Quay, Centre, Cork	+353 21 496 5704
Hungry Hippo Cork	Cork	4.19999980926514	232	1 Courthouse St, Centre, Cork	
Mimmos Take Away	Cork	4.40000009536743	100	11-17 Casement Square, Ballyvoloon, Cobh	+353 21 481 1343
The Black Dog	Cork	4.40000009536743	592	53 N Main St, Centre, Cork	+353 21 239 3371
Cissie Youngs	Cork	4.59999990463257	381	80 Bandon Rd, The Lough, Cork	+353 21 496 2773
Hillbilly's MacCurtain Street	Cork	4.19999980926514	599	47A MacCurtain Street, Centre, Cork	+353 21 450 9864
Oak Fire Pizza	Cork	4.40000009536743	244	Unit 1, Village House, E Douglas St, Douglas, Cork	+353 21 436 4830
KC & Son & Sons	Cork	4.59999990463257	2466	E Douglas St, Douglas, Cork	+353 21 436 1418
Vicarstown Bar	Cork	4.40000009536743	799	52 N Main St, Centre, Cork	+353 21 239 3375
Luigi Malones Cork	Cork	4.40000009536743	2404	1-2 Emmett Pl, Centre, Cork	+353 21 427 8877
Zambrero Sallybrook	Cork	4.09999990463257	8	Sallybrook, Glanmire	+353 21 485 8329
Goldbergs	Cork	4.40000009536743	893	4 Victoria Rd, Centre, Cork	+353 21 496 5848
Koto	Cork	4.59999990463257	1150	6 Carey's Ln, Centre, Cork	+353 21 427 4172
The Pavilion Garden Centre & Restaurant	Cork	4.40000009536743	779	Myrtle Hill, Ballyduhig South, Ballygarvan	+353 21 488 8134
Titanic Bar and Grill	Cork	4.30000019073486	1625	20 Casement Square, Cobh	+353 21 481 4585
Buns & Dough	Cork	4.5	43	258 Old Youghal Rd, Mayfield, Cork	+353 21 455 3216
The Quays Bar & Restaurant	Cork	4.19999980926514	1149	Westbourne Pl, Ballyvoloon, Cobh	+353 21 481 3539
Bocelli Italian Kitchen & Wine Bar	Cork	4.40000009536743	1137	1, 2, 3 Maylor St, Centre, Cork	+353 21 427 4537
Woolshed Baa & Grill - Cork	Cork	4.30000019073486	943	Mardyke Entertainment Complex, The, Sheares St, Cork	+353 21 427 3000
Arthur Mayne's Pharmacy	Cork	4.5	1214	7 Pembroke St, Centre, Cork	+353 21 427 9449
Clayton Hotel Cork City	Cork	4.30000019073486	3205	10 Lapp's Quay, Centre, Cork	+353 21 422 4900
Supermac's & Papa John's Cork City	Cork	4	643	1 n 6 N Main St, Centre, Cork	+353 21 494 4900
El Grito Mexican Taqueria Mountjoy Square	Dublin	4.5	3562	20 Mountjoy Square E, Mountjoy, Dublin	+353 1 548 6410
Kalabasa Market	Dublin	4.80000019073486	8716	60-61 Middle Abbey St, North City, Dublin 1	+353 1 568 6218
Zambrero Dundrum	Dublin	4.40000009536743	230	Zambrero Food Hall Level 3 Dundrum Town Centre, Sandyford Rd, Dundrum, Dublin 16	+353 1 293 9932
Papi Chulo	Dublin	4.80000019073486	71	Unit 4, Block C, Point campus, North Wall, Dublin	+353 1 963 1997
El Grito Mexican Taqueria	Dublin	4	33	125 Abbey Street Upper, North City, Dublin	
Pickosito Northern Mexican Taqueria	Dublin	4.80000019073486	785	Upstairs, 62 Mary St, North City, Dublin 1	+353 1 515 9600
Acapulco Mexican Restaurant	Dublin	4.19999980926514	1607	7 South Great George's Street, Dublin 2	
AGAVE DUBLIN	Dublin	4.5	722	19-22 Lord Edward St, Dublin 2	+353 1 670 9476
El Grito Mexican Taqueria	Dublin	4.30000019073486	438	137 Rathmines Rd Lower, Rathmines, Dublin	+353 1 441 8534
Tula Mexican Grill	Dublin	5	10	49 Shelbourne Rd, Ballsbridge, Dublin 4	+353 1 538 3195
Parrilla Ranelagh	Dublin	4.59999990463257	264	7-9 Sandford Rd, Ranelagh, Dublin 6	+353 1 230 8584
Zambrero	Dublin	4	162	Unit 41/42, Blackrock Village Centre, Rock Hill, Blackrock, Dublin	+353 87 166 9362
777	Dublin	4.09999990463257	1873	Castle House, 7 South Great George's Street, Dublin 2	+353 1 425 4052
Salsa - Authentic Mexican Food	Dublin	4.40000009536743	947	Custom House Square, Mayor Street Lower, International Financial Services Centre, Dublin	+353 1 791 9672
Zambrero Hatch Street	Dublin	4.19999980926514	222	Hatch Street Upper, Saint Kevin's, Dublin 2	+353 1 517 6279
Tacos by Agave	Dublin	4.69999980926514	168	37 Aungier St, Dublin	
Masa Drury St	Dublin	4.40000009536743	1546	2–3 Drury St, Dublin 2	
Mama's Revenge	Dublin	4.5	1044	12 Leinster St S, Dublin 2	+353 1 661 9289
Boojum - Abbey Street	Dublin	4.30000019073486	2995	3 Abbey Street Lower, North City, Dublin 1	+353 1 874 7237
Pablo Picante	Dublin	4.40000009536743	2105	4 Clarendon Market, Dublin Southside, Dublin	+353 1 633 4245
Vida's - Mexican Cantina and Cocktail Bar	Dublin	4.30000019073486	410	16 Sandyford Rd, Dundrum, Dublin	+353 86 032 4189
Priory Market	Dublin	4.40000009536743	398	Main Rd, Tallaght, Dublin	+353 85 730 4777
Brassa	Dublin	5	8	Ballybough Rd, Drumcondra, Dublin	+353 83 180 6976
El Silencio	Dublin	4.30000019073486	249	4 Clarendon Market, Dublin 2	
El Milagro Mexican food	Dublin	4.40000009536743	11	Priory market, Main Rd, Tallaght, Dublin	
Mr Burrito Dublin	Dublin	4.30000019073486	440	86 Drumcondra Rd Upper, Drumcondra, Dublin 9	+353 1 537 7780
Boojum - Blanchardstown	Dublin	3.59999990463257	690	Unit 452, Blanchardstown Centre, Coolmine, Dublin 15	+353 1 823 7264
Masa Camden St	Dublin	4.59999990463257	345	19 Camden Street Lower, Saint Kevin's, Dublin	+353 87 052 1807
Pablo Picante	Dublin	4.19999980926514	259	32 Dawson St, Dublin 2	+353 1 738 3930
Tula Mexican Grill	Dublin	4.69999980926514	68	12 Baggot Street Lower, Dublin 2	
Boojum - Kevin Street	Dublin	4.40000009536743	1922	College Court, 6 Kevin Street Lower, Portobello, Dublin 8	+353 1 809 0077
Boojum - Mespil Road	Dublin	4.09999990463257	1504	63 Mespil Rd, Dublin 4	+353 1 667 6062
Pablo Picante Californian Burrito Bar	Dublin	4.30000019073486	474	131 Baggot Street Lower, Dublin 2	+353 1 662 9773
Zambrero Pearse Street	Dublin	4.19999980926514	447	Trinity Central, Pearse St, Dublin 2	+353 1 670 6684
Boojum - George's Street	Dublin	4.19999980926514	1252	Castle House, 73-83 South Great George's Street, Dublin	+353 1 425 4082
Tula Mexican Grill	Dublin	4.30000019073486	522	30 Essex St E, Temple Bar, Dublin	+353 1 444 6585
Adobo Mexico	Dublin	4.80000019073486	64	18 Parkside Cl, Malahide Rd, Balgriffin, Dublin	+353 87 665 1131
Suertudo	Dublin	4.19999980926514	128	47, Ranelagh, Dublin 6	+353 1 497 8010
Chubbys	Dublin	4.40000009536743	277	Rere of 46, Clontarf Rd, Clontarf, Dublin 3	
The Rialto Bridge Cafe	Dublin	4.5	340	568 S Circular Rd, Rialto, Dublin 8	+353 1 430 5808
Salsa - Authentic Mexican Food	Dublin	4.5	160	7 King St N, Dublin	+353 83 456 5313
Zambrero Long Mile Road	Dublin	5	1	12, Long Mile Rd, Fox-And-Geese Common, Dublin 12	
Noah & Co	Dublin	3.59999990463257	174	Malahide Rd, Barrysparks, Swords	
Tula Mexican Grill	Dublin	4.5	169	20 Baggot Street Upper, Ballsbridge, Dublin	+353 1 567 2049
Fire & Stone Eatery	Dublin	4.59999990463257	611	Belarmine Hall, Belarmine Ave, Belarmine, Dublin 18	+353 1 295 9009
Fuppin Delish	Dublin	4.59999990463257	40	79-81, Ranelagh, Dublin 6	+353 87 614 1229
Boojum - Smithfield	Dublin	4.19999980926514	1300	Block C, 19 Smithfield, Arran Quay, Dublin	+353 1 878 3305
Chilangos IE	Dublin	4.69999980926514	89	568 S Circular Rd, Rialto, Dublin 08	+353 1 430 5808
Chopped Sandyford	Dublin	3.70000004768372	123	Apex Buildings, Blackthorn Dr, Sandyford Business Park, Dublin	+353 1 568 2856
Zambrero	Dublin	3.59999990463257	52	16 Sandyford Rd, Dundrum, Dublin 16	+353 89 234 0604
Smash It	Dublin	3.5	233	Dundrum Town Centre, Dundrum, Dublin	
Zambrero Liffey Valley	Dublin	4.5	140	Liffey Valley Shopping Centre, K9, Fonthill Rd, Clondalkin, Dublin	+353 1 626 4491
Tacos Lupillo "The Saint" (Mexican Street Food)	Dublin	4.5	48	1 St Vincent St W, Inchicore, Dublin 8	
La Gordita	Dublin	4.69999980926514	323	6 Montague St, Dublin	+353 1 531 3303
Gringo’s Cantina	Dublin	4.30000019073486	24	3a Harbour Rd, Howth, Dublin	+353 83 173 3557
Boojum - Hanover Quay	Dublin	4.19999980926514	1183	South Dock House, Unit H1 & H5, 1 Hanover Quay, Docklands, Dublin 2	+353 1 672 4494
Boojum - Liffey Valley	Dublin	3.90000009536743	185	Unit R8, Liffey Valley Shopping Centre, Fonthill Rd, Clondalkin, Dublin	+353 1 605 5178
Zambrero Cherrywood	Dublin	4.19999980926514	150	Grand Parade Laughanstown, Cherrywood	+353 1 538 4835
Papi Chulo	Dublin	4.69999980926514	212	Unit 4a, the Pavillions, Marine Rd, Dún Laoghaire, Dublin	+353 1 215 0437
Zambrero Grangegorman	Dublin	4.5	60	18 Grangegorman Lower, Dublin 7	+353 83 351 6501
Salsa	Galway	4.69999980926514	310	City Center, 40 Abbeygate Street Upper, Galway	+353 83 127 4457
Taquila	Galway	4.59999990463257	272	Eglinton Court, Eglinton St, 6/7, Galway	+353 91 450 000
Vocho	Galway	4.19999980926514	580	19 Forster St, Galway	+353 91 330 520
The Chili Shack Galway	Galway	4.5	635	19 Abbeygate Street Upper, Galway	+353 91 561 783
Zambrero Newcastle Road	Galway	4.09999990463257	168	Unit 3, Newcastle Rd, Galway	+353 91 863 763
Elephant & Castle Galway	Galway	4.09999990463257	225	80 Prospect Hill, Centre, Galway	+353 91 749 212
Tuco's Taqueria	Galway	4.40000009536743	1055	6 Abbeygate Street Upper, Galway	+353 91 563 925
Zambrero Headford Road	Galway	4.5	43	Galway Shopping Centre, Headford Rd, Galway	+353 91 339 423
Boojum - Galway	Galway	4.40000009536743	1866	1 Spanish Parade, Galway	+353 91 568 451
Banditos Galway	Galway	4.59999990463257	295	Main St, Innplot, Oranmore	+353 91 795 500
Londis Wellpark Galway	Galway	4.09999990463257	147	10 Old Dublin Rd, Galway	+353 91 735 146
Chopped	Galway	4.40000009536743	23	Londis Well Park, Old Dublin Rd, Galway	+353 91 735 146
Deelys Cafe	Galway	3.59999990463257	381	6 Mainguard St, Galway	+353 91 539 701
Sangria Tapas Restaurant	Galway	4.5	863	19 Middle St, Galway	+353 91 539 923
The Ardilaun Bistro	Galway	3.5	12	Taylor's Hill Rd, Galway	+353 91 521 433
Alma Restaurant	Galway	4.90000009536743	177	Unit 1, Lydon Court, Bóthar Irwin, Galway	+353 85 277 6918
Munch Haven	Galway	4.59999990463257	168	30 Abbeygate Street Upper, Galway	+353 91 448 531
Deli La Tasca	Galway	4.40000009536743	238	1 Dominick St Upper, Galway	+353 85 108 2115
Supermac's & Papa John's Eyre Square	Galway	4	2812	Eyre Square, Galway	+353 91 566 555
Jalan Jalan Galway	Galway	4.30000019073486	506	37 Newcastle Rd, Galway	+353 91 528 844
Sonny Molloy's	Galway	4.40000009536743	502	2 High St, Galway	+353 91 563 757
Jemi Lighthouse	Galway	4.69999980926514	464	8 Abbeygate Street Upper, Galway	+353 91 895 647
Skeffington Arms Hotel	Galway	4.5	1047	27 Eyre Square, Galway	+353 91 563 173
Gigas Dinergrill Oranmore	Galway	4.69999980926514	138	Howley Court, Dublin Rd, Oran More, Oranmore	+353 91 777 888
Park House Hotel	Galway	4.59999990463257	2415	18 Forster St, Eyre Square, Galway	+353 91 564 924
Menlo Park Hotel	Galway	4.40000009536743	2124	Headford Rd, Galway	+353 91 761 122
Shake Dog Galway	Galway	4	1069	Wellpark Retail Centre, 12 Wellpark Rd, Galway	+353 91 767 401
Republic of Grill	Limerick	4.59999990463257	84	1 Wickham St, Prior's-Land, Limerick	
Boojum - Limerick	Limerick	4.30000019073486	1120	17-19 Patrick St, Prior's-Land, Limerick	+353 61 609 350
Zambrero Castletroy	Limerick	4.09999990463257	96	Unit 3, Glenesk, Dublin Rd, Castletroy, Limerick	+353 61 550 037
Shake Dog Childers Road	Limerick	4.5	157	Limerick One Retail Park, Childers Rd, Singland, Limerick	+353 61 544 443
Maggie Choo's	Limerick	3.90000009536743	194	104 O'Connell St, Prior's-Land, Limerick	+353 61 597 164
The Locke Bar	Limerick	4.59999990463257	5435	3 George's Quay, Englishtown, Limerick	+353 61 413 733
Zambrero Thomas Street	Limerick	3.90000009536743	23	51 Thomas St, Prior's-Land, Limerick	+353 61 489 453
Coqbull Limerick	Limerick	4.5	1631	50 Thomas St, Prior's-Land, Limerick	+353 61 311 011
Sambros	Limerick	4.59999990463257	302	52 Thomas St, Prior's-Land, Limerick	+353 61 409 600
MELODY	Limerick	4.69999980926514	234	Foxes Bow, Prior's-Land, Limerick	+353 85 759 9754
The Good Room Café	Limerick	4.19999980926514	702	Church View, Adare	+353 61 396 218
Texas Steakout	Limerick	4.5	2783	116 O'Connell St, Prior's-Land, Limerick	+353 61 410 350
The Hungry Lyons Dooradoyle	Limerick	3.79999995231628	734	St Nessan's Rd, Gouldavoher, Limerick	+353 61 306 111
Marco Polo	Limerick	4.40000009536743	1840	38 O'Connell St, Prior's-Land, Limerick	+353 61 412 888
Locke Burger Castletroy	Limerick	4.5	438	1 University Ct, Newcastle, Limerick	+353 61 332 767
Roosters Piri Piri	Limerick	4.69999980926514	96	Ballybrown, Clarina	+353 61 587 115
House Limerick	Limerick	4.40000009536743	1836	Howley's Quay, Prior's-Land, Limerick	+353 61 513 282
No. 1 Pery Square Hotel & Spa	Limerick	4.69999980926514	762	Georgian Quarter, 1 Pery Square, Prior's-Land, Limerick	+353 61 402 402
Flanagan's on the Lake	Limerick	4.30000019073486	1388	Ballina Quay, Cullenagh, Ballina	+353 61 622 790
La Vida Loca	Waterford	4.90000009536743	240	Tramore Rd, Coolgower, Waterford	+353 83 305 2216
Changarro	Waterford	4.69999980926514	85	17 John St, Waterford	+353 51 317 546
Amigo	Waterford	4.5	419	12 John St, Waterford	+353 89 958 2443
Chingon Badass Burritos & More...	Waterford	4.19999980926514	98	39 O'Connell St, Trinity Without, Waterford	+353 85 251 3732
Zambrero Ardkeen	Waterford	4.59999990463257	74	Unit 40A, Ardkeen Shopping Centre, Ardkeen, Waterford	+353 51 843 336
Poquito	Waterford	4.90000009536743	41	3 Broad St, Tramore West, Tramore	+353 87 902 3606
Amigo Tex-Mex	Waterford	5	1	42 John St, Waterford	
Phoenix Yard Market	Waterford	4.69999980926514	78	39 O'Connell St, Trinity Without, Waterford	+353 85 180 0755
Unbeetable Food	Waterford	4.90000009536743	112	Pickardstown service station, Pickardstown, Tramore	+353 83 406 1822
Emiliano's Restaurant	Waterford	4.80000019073486	1293	21 High St, Waterford	+353 51 820 333
The Sweep Bar	Waterford	4.59999990463257	897	Adamstown, Kilmeaden	+353 51 384 395
Brooklyn Restaurant Tramore	Waterford	4.40000009536743	1054	1,2,3, The Pavilion, The Prom, Tramore West, Tramore	+353 51 393 383
Bell Pepper	Waterford	4.5	509	36-37 Great George's St, Trinity Without, Waterford	+353 51 332 200
Bun Cha Journey	Waterford	4.90000009536743	535	20 Michael St, Waterford	+353 87 386 1084
Power's Takeaway	Waterford	4.40000009536743	60	Sleveen, Kill	+353 51 292 649
